,center,gridID,num_establishments,num_liquor_stores,num_restaurants,num_stores,num_bars
296,"[40.61146164639455, -73.8547707551338]",39366,0,0,0,0,0
297,"[40.61002411553103, -73.8547707551338]",39367,0,0,0,0,0
298,"[40.61146164639455, -73.85666436277]",39137,0,0,0,0,0
299,"[40.61002411553103, -73.85666436277]",39138,0,0,0,0,0
300,"[40.608586553742605, -73.85666436277]",39139,0,0,0,0,0
301,"[40.608586553742605, -73.85855797040624]",38910,0,0,0,0,0
302,"[40.61002411553103, -73.86045157804247]",38680,0,0,0,0,0
303,"[40.608586553742605, -73.86045157804247]",38681,0,0,0,0,0
304,"[40.61002411553103, -73.85855797040624]",38909,0,0,0,0,0
305,"[40.61146164639455, -73.86045157804247]",38679,0,0,0,0,0
306,"[40.61146164639455, -73.85855797040624]",38908,0,0,0,0,0
307,"[40.61289914633295, -73.85666436277]",39136,0,0,0,0,0
308,"[40.61289914633295, -73.86045157804247]",38678,0,0,0,0,0
309,"[40.61289914633295, -73.85855797040624]",38907,0,0,0,0,0
310,"[40.61433661534597, -73.86045157804247]",38677,0,0,0,0,0
311,"[40.61433661534597, -73.85855797040624]",38906,0,0,0,0,0
312,"[40.61289914633295, -73.8547707551338]",39365,0,0,0,0,0
313,"[40.61433661534597, -73.85666436277]",39135,0,0,0,0,0
314,"[40.61433661534597, -73.8547707551338]",39364,0,0,0,0,0
315,"[40.615774053433384, -73.85666436277]",39134,0,0,0,0,0
316,"[40.615774053433384, -73.8547707551338]",39363,0,0,0,0,0
317,"[40.61864883683044, -73.8547707551338]",39361,0,0,0,0,0
318,"[40.61721146059494, -73.8547707551338]",39362,0,0,0,0,0
319,"[40.61864883683044, -73.85666436277]",39132,0,0,0,0,0
320,"[40.61721146059494, -73.85666436277]",39133,0,0,0,0,0
321,"[40.615774053433384, -73.85855797040624]",38905,0,0,0,0,0
322,"[40.61864883683044, -73.85855797040624]",38903,0,0,0,0,0
323,"[40.61721146059494, -73.85855797040624]",38904,0,0,0,0,0
324,"[40.61864883683044, -73.86045157804247]",38674,0,0,0,0,0
325,"[40.61721146059494, -73.86045157804247]",38675,0,0,0,0,0
326,"[40.615774053433384, -73.86045157804247]",38676,0,0,0,0,0
327,"[40.615774053433384, -73.86234518567869]",38447,0,0,0,0,0
328,"[40.61433661534597, -73.86234518567869]",38448,0,0,0,0,0
329,"[40.61721146059494, -73.86234518567869]",38446,0,0,0,0,0
330,"[40.61864883683044, -73.86234518567869]",38445,0,0,0,0,0
331,"[40.61721146059494, -73.86423879331493]",38217,0,0,0,0,0
332,"[40.62008618213958, -73.86423879331493]",38215,0,0,0,0,0
